City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
258,Baghdad,IQ,33.34,44.4,87.8,31,0,5.82,clear sky
259,Saint-Pierre,RE,-21.34,55.48,70.0,77,0,4.7,clear sky
260,Naze,JP,28.37,129.48,75.2,73,17,5.82,few clouds
261,Istisu,AZ,40.95,48.07,66.2,68,75,3.36,broken clouds
262,Antalaha,MG,-14.9,50.28,69.89,89,8,1.95,clear sky
263,Mount Gambier,AU,-37.83,140.77,66.2,52,25,16.11,scattered clouds
264,Dhuburi,IN,26.03,89.97,81.0,82,52,2.62,heavy intensity rain
265,East London,ZA,-33.02,27.91,60.8,82,75,17.22,broken clouds
266,Smidovich,RU,48.6,133.82,50.41,96,100,8.55,overcast clouds
267,Luwuk,ID,-0.95,122.79,77.88,78,100,6.35,overcast clouds
268,Hami,CN,42.8,93.45,46.96,45,0,5.28,clear sky
269,Vanimo,PG,-2.67,141.3,76.96,82,85,5.53,moderate rain
270,Tripoli,LY,32.88,13.19,87.39,43,100,16.51,overcast clouds
271,Asyut,EG,27.18,31.18,86.0,40,0,11.41,clear sky
272,Manuk Mangkaw,PH,4.8,119.85,84.09,68,97,2.17,overcast clouds
273,Nago,JP,26.59,127.98,78.8,88,1,9.35,clear sky
274,Coihaique,CL,-45.58,-72.07,44.6,24,0,8.05,clear sky
275,Tongliao,CN,43.61,122.27,43.79,62,0,8.48,clear sky
276,Aguimes,ES,27.91,-15.45,75.2,69,40,23.04,scattered clouds
277,Hurricane,US,37.18,-113.29,82.4,9,1,5.97,clear sky
278,San Quintin,MX,30.48,-115.95,87.64,29,0,11.92,clear sky
279,Omsukchan,RU,62.53,155.8,30.4,91,0,2.66,clear sky
280,Floriano,BR,-6.77,-43.02,102.07,15,100,8.43,overcast clouds
281,Lasem,ID,-6.69,111.45,79.0,82,24,9.78,few clouds
282,Muroto,JP,33.28,134.15,72.41,72,9,4.12,clear sky
283,Mount Isa,AU,-20.73,139.5,77.0,22,0,6.93,clear sky
284,Pisco,PE,-13.7,-76.22,69.01,72,20,11.41,few clouds
285,Broome,US,42.25,-75.83,61.0,54,90,8.05,overcast clouds
286,Noshiro,JP,40.2,140.02,59.13,84,100,5.06,overcast clouds
287,Raga,SS,8.46,25.68,71.85,89,40,3.78,moderate rain
288,Port Hardy,CA,50.7,-127.42,53.6,100,90,4.7,fog
289,Ola,RU,59.58,151.28,41.2,82,0,2.84,clear sky
290,Yerbogachen,RU,61.28,108.01,27.57,95,100,8.08,overcast clouds
291,Manta,EC,-0.95,-80.73,80.6,69,40,10.29,scattered clouds
292,Beroroha,MG,-21.67,45.17,77.14,32,0,0.63,clear sky
293,Jiangkou,CN,25.49,119.2,71.6,83,0,4.47,clear sky
294,Ukiah,US,39.15,-123.21,73.4,35,90,5.17,haze
295,Matamoros,MX,25.53,-103.25,77.0,27,5,8.01,clear sky
296,Derzhavinsk,KZ,51.1,66.32,50.11,72,82,2.98,broken clouds
297,Faanui,PF,-16.48,-151.75,78.26,79,7,20.47,clear sky
298,Bara,NG,10.37,10.73,73.54,81,0,2.73,clear sky
299,Khetri,IN,27.98,75.8,75.31,24,0,2.21,clear sky
300,Caxito,AO,-8.58,13.66,75.2,83,40,9.17,scattered clouds
301,Pangnirtung,CA,66.15,-65.71,32.0,84,75,9.17,broken clouds
302,Mastic,US,40.8,-72.84,62.01,76,90,8.05,overcast clouds
303,Anadyr,RU,64.75,177.48,35.6,93,75,8.95,light snow
304,Jiexiu,CN,37.02,111.91,53.38,46,8,5.3,clear sky
305,Ystad,SE,55.43,13.82,59.0,82,75,18.34,broken clouds
306,Novobirilyussy,RU,56.95,90.67,37.31,86,100,7.85,overcast clouds
307,Amarante Do Maranhao,BR,-5.57,-46.74,100.56,19,2,5.59,clear sky
308,Lyndon,US,38.26,-85.6,63.0,44,75,6.93,broken clouds
309,Bonavista,CA,48.65,-53.11,55.99,77,100,1.99,overcast clouds
310,Batagay-Alyta,RU,67.8,130.41,23.11,88,85,13.53,overcast clouds
311,Rancho Palos Verdes,US,33.74,-118.39,87.8,33,5,5.82,clear sky
312,Vestmannaeyjar,IS,63.44,-20.27,44.6,70,0,3.36,clear sky
313,Ambon,ID,-3.7,128.18,79.7,84,87,15.61,overcast clouds
314,Radom,PL,51.4,21.15,60.01,84,96,10.85,overcast clouds
315,Port-Gentil,GA,-0.72,8.78,80.6,74,40,13.87,scattered clouds
316,Tateyama,JP,34.98,139.87,68.0,91,0,1.99,clear sky
317,Pavlodar,KZ,52.3,76.95,33.8,62,54,5.19,broken clouds
318,Lambarene,GA,-0.7,10.24,78.89,76,92,2.91,overcast clouds
319,Riviere-Du-Loup,CA,47.83,-69.53,48.27,91,100,8.5,light rain
320,Thinadhoo,MV,0.53,72.93,83.26,74,97,12.33,light rain
321,Acurenam,GQ,1.03,10.65,69.31,98,52,3.49,broken clouds
322,San Miguelito,PA,9.03,-79.5,86.0,79,40,4.7,scattered clouds
323,Victoria,HK,22.29,114.16,82.0,80,23,1.99,light rain
324,Shingu,JP,33.73,135.98,65.5,82,98,5.23,overcast clouds
325,Maningrida,AU,-12.07,134.27,71.17,81,1,8.34,clear sky
326,Verkhnyaya Inta,RU,65.98,60.31,39.24,83,100,17.25,overcast clouds
327,Quatre Cocos,MU,-20.21,57.76,71.01,83,40,3.36,scattered clouds
328,Toora-Khem,RU,52.47,96.11,22.17,90,0,1.34,clear sky
329,Bontang,ID,0.13,117.5,77.95,86,57,4.74,broken clouds
330,Deputatskiy,RU,69.3,139.9,19.71,89,96,6.15,overcast clouds
331,Sinop,TR,41.77,34.87,55.69,77,0,4.05,clear sky
332,Itarema,BR,-2.92,-39.92,83.3,62,20,21.18,few clouds
333,Zarubino,RU,42.63,131.09,53.78,74,27,10.04,scattered clouds
334,Bathsheba,BB,13.22,-59.52,87.8,66,75,16.11,broken clouds
335,Aswan,EG,24.09,32.91,93.72,23,51,14.16,broken clouds
336,Fairview,US,40.81,-74.0,66.0,59,75,4.7,broken clouds
337,Ridgecrest,US,35.62,-117.67,95.0,8,0,2.8,clear sky
338,Fare,PF,-16.7,-151.02,78.85,77,0,18.86,clear sky
339,Ulaanbaatar,MN,47.91,106.88,24.8,62,75,11.18,broken clouds
340,Hambantota,LK,6.12,81.12,80.11,81,100,17.16,overcast clouds
341,Misratah,LY,32.38,15.09,89.22,35,100,14.41,overcast clouds
342,Meredith,US,43.66,-71.5,53.6,93,90,2.8,light rain
343,Nunoa,PE,-14.48,-70.64,58.95,39,56,12.91,moderate rain
344,Vibo Valentia,IT,38.7,16.13,75.2,83,100,13.87,overcast clouds
345,San Patricio,MX,19.22,-104.7,86.0,74,20,11.41,few clouds
346,Ambilobe,MG,-13.2,49.05,72.64,82,58,4.9,broken clouds
347,Hornepayne,CA,49.21,-84.77,37.44,79,100,4.85,overcast clouds
348,Parkes,AU,-33.13,148.18,50.0,75,0,4.99,clear sky
349,Neumunster,DE,54.07,9.98,57.99,87,58,10.0,broken clouds
350,Prince George,CA,53.92,-122.75,50.0,100,90,1.07,mist
351,Villazon,BO,-22.09,-65.59,69.55,24,98,14.12,overcast clouds
352,Kirkuk,IQ,35.47,44.39,76.86,21,0,2.73,clear sky
353,Mehamn,NO,71.04,27.85,44.6,81,40,5.82,scattered clouds
354,Pontes E Lacerda,BR,-15.23,-59.34,82.42,56,99,10.45,overcast clouds
355,Lusambo,CD,-4.97,23.45,72.91,89,64,1.07,moderate rain
356,Lompoc,US,34.64,-120.46,93.0,30,1,6.93,clear sky
357,Tiarei,PF,-17.53,-149.33,80.6,69,20,3.36,few clouds
358,Tulun,RU,54.56,100.58,26.67,94,0,1.63,clear sky
359,Luanda,AO,-8.84,13.23,75.2,83,40,9.17,scattered clouds
360,Roma,US,43.21,-75.46,60.8,55,20,3.36,few clouds
361,Alofi,NU,-19.06,-169.92,75.2,100,87,8.05,overcast clouds
362,Gidam,IN,18.98,81.4,71.65,77,100,1.83,overcast clouds
